MS SubClass,MS Zoning,Lot Shape,Land Contour,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Total Bsmt SF,Heating QC,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Fence,Sale Type,SalePrice
70,RL,Reg,Bnk,FR2,SawyerW,Feedr,1Fam,2Story,5,7,1880,2007,Gable,HdBoard,HdBoard,None,Gd,TA,PConc,NA,NA,NA,NA,NA,0.0,Ex,1288,2016,1,TA,7,TA,Attchd,1900.0,Unf,2.0,576.0,TA,NA,WD ,131000
160,FV,Reg,Lvl,Inside,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,960.0,Ex,962,1607,2,Gd,7,NA,Detchd,2000.0,Unf,2.0,480.0,TA,NA,ConLD,200000
20,RL,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1351.0,Ex,1361,1361,2,Gd,6,NA,Attchd,2007.0,RFn,2.0,610.0,TA,NA,WD ,193000
20,RL,Reg,Lvl,Inside,Mitchel,Norm,1Fam,1Story,5,5,2004,2005,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Ex,TA,Av,Unf,Unf,1430.0,Ex,1430,1430,2,Gd,7,NA,Attchd,2004.0,RFn,2.0,624.0,TA,NA,WD ,173500
70,RM,Reg,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,5,1916,1950,Gable,AsbShng,AsbShng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,624.0,Fa,624,1344,1,TA,7,NA,Detchd,1916.0,Unf,3.0,513.0,Fa,NA,COD,98000
20,RL,Reg,Lvl,Corner,Sawyer,Feedr,1Fam,1Story,5,6,1963,1963,Gable,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,Rec,Unf,1121.0,TA,1121,1121,1,TA,5,NA,Detchd,1963.0,Unf,2.0,480.0,TA,MnPrv,WD ,139000
20,RL,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,6,5,1977,1977,Gable,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,660.0,Ex,1285,1285,1,TA,7,TA,Attchd,1977.0,RFn,2.0,528.0,TA,MnPrv,WD ,143500
60,FV,Reg,Lvl,Inside,Somerst,Norm,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Mn,GLQ,Unf,756.0,Ex,764,1547,2,Gd,7,NA,Attchd,2009.0,Unf,2.0,614.0,TA,NA,Con,215200
20,RL,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1968,1968,Gable,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,894.0,Gd,894,894,1,TA,5,Po,Attchd,1968.0,Fin,2.0,450.0,TA,NA,WD ,129000
120,RL,IR1,Lvl,Inside,StoneBr,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1501.0,Ex,1659,1659,2,Ex,5,Ex,Attchd,2000.0,Fin,2.0,499.0,TA,NA,WD ,278000
60,RL,IR1,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,CemntBd,CmentBd,None,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,1209.0,Ex,1209,2253,2,Ex,8,Gd,Attchd,2005.0,Fin,2.0,575.0,TA,NA,New,344133
20,RL,IR1,Lvl,Inside,Gilbert,Norm,1Fam,1Story,6,7,1992,2007,Gable,HdBoard,HdBoard,None,TA,Gd,PConc,Gd,TA,No,ALQ,Unf,1168.0,Ex,1187,1187,2,TA,6,NA,Attchd,1992.0,Fin,2.0,420.0,TA,GdPrv,WD ,185000
190,RL,Reg,Bnk,Inside,Gilbert,Norm,2fmCon,1Story,5,5,1955,1955,Hip,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,Rec,Unf,1056.0,TA,1056,1056,1,TA,5,NA,Attchd,1955.0,Fin,2.0,572.0,TA,NA,WD ,145000
20,RL,Reg,Lvl,Inside,Sawyer,RRAe,1Fam,1Story,5,8,1965,2009,Gable,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,BLQ,894.0,Ex,894,894,1,TA,5,Gd,Detchd,1973.0,Unf,1.0,336.0,TA,MnPrv,WD ,138500
50,RL,IR1,HLS,Inside,Crawfor,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,WdShing,Wd Shng,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,942.0,Ex,1265,1938,2,Gd,7,Gd,Detchd,1937.0,Unf,1.0,240.0,TA,NA,WD ,198000
190,C (all),Reg,Lvl,Inside,IDOTRR,Feedr,2fmCon,2Story,5,6,1895,2006,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,Unf,Unf,957.0,Fa,1034,1991,2,TA,9,NA,NA,1978.7077955601446,NA,0.0,0.0,NA,NA,WD ,119600
20,RL,Reg,Lvl,Inside,NWAmes,PosN,1Fam,1Story,8,5,1981,1981,Hip,BrkFace,BrkFace,None,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,2524.0,TA,2524,2524,2,Gd,9,Gd,Attchd,1981.0,Fin,2.0,542.0,TA,MnPrv,WD ,278000
70,RL,IR1,HLS,Corner,Crawfor,Norm,1Fam,2Story,8,7,1929,1950,Gable,BrkFace,Stucco,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,792.0,Fa,792,1517,1,Gd,7,Gd,Detchd,1931.0,Unf,2.0,400.0,TA,NA,WD ,230000
20,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,6,1952,1952,Hip,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,948.0,TA,948,948,1,TA,5,NA,Detchd,1952.0,Unf,2.0,410.0,TA,NA,WD ,125000
20,RL,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,5,2007,2008,Hip,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,1705.0,Ex,1718,1718,2,Gd,7,Gd,Attchd,2007.0,RFn,3.0,826.0,TA,NA,WD ,297000
20,RL,IR1,HLS,Inside,NAmes,Norm,1Fam,1Story,6,6,1958,1958,Flat,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,Gd,TA,Gd,Unf,Unf,160.0,Fa,1142,1142,1,TA,5,Gd,Basment,1958.0,RFn,1.0,384.0,TA,NA,WD ,113500
160,RM,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CemntBd,CmentBd,None,TA,TA,PConc,TA,TA,No,ALQ,Rec,757.0,Ex,925,1475,2,TA,6,TA,Attchd,1977.0,RFn,1.0,336.0,TA,NA,WD ,127000
20,RL,IR1,Lvl,Inside,NWAmes,Norm,1Fam,1Story,6,6,1977,1977,Hip,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,Unf,1844.0,Ex,1844,1844,2,TA,7,TA,Attchd,1977.0,RFn,2.0,546.0,TA,MnPrv,COD,190000
20,RL,Reg,Lvl,Inside,NWAmes,Norm,1Fam,1Story,7,6,1973,1973,Hip,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,1242.0,Fa,1242,1242,1,TA,6,TA,Attchd,1973.0,Unf,2.0,528.0,TA,NA,WD ,175500
20,RL,IR2,Lvl,Inside,CollgCr,Norm,1Fam,1Story,5,7,1994,1994,Gable,VinylSd,VinylSd,None,TA,Gd,PConc,Gd,Gd,No,GLQ,Unf,990.0,Ex,990,990,1,TA,5,NA,Detchd,1995.0,Unf,1.0,384.0,TA,NA,WD ,146000
20,RL,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,10,5,2006,2006,Gable,VinylSd,VinylSd,None,Ex,TA,PConc,Ex,Gd,Gd,GLQ,Unf,2076.0,Ex,2076,2076,2,Ex,7,Gd,Attchd,2006.0,Fin,3.0,850.0,TA,NA,New,465000
85,RL,IR1,Lvl,Corner,Mitchel,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,Plywood,Plywood,BrkFace,TA,Gd,PConc,Gd,TA,Av,GLQ,Unf,1097.0,Ex,1110,1110,1,Gd,4,TA,Attchd,1978.0,Fin,2.0,602.0,TA,NA,WD ,165500
50,RM,Reg,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,MetalSd,MetalSd,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,Unf,1050.0,Ex,1050,1795,2,TA,7,NA,Attchd,1954.0,Unf,1.0,352.0,Fa,NA,WD ,131500
20,RL,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,1040.0,Ex,1040,1040,1,TA,5,NA,Detchd,1965.0,Unf,1.0,384.0,TA,NA,WD ,129500
70,RL,IR1,HLS,Inside,Crawfor,Norm,1Fam,2Story,8,6,1935,1950,Gable,BrkFace,Stucco,Stone,TA,TA,PConc,TA,Fa,No,LwQ,Unf,608.0,TA,983,1873,1,TA,9,Gd,Detchd,1935.0,Fin,2.0,786.0,Fa,NA,WD ,257076
50,RL,Reg,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,LwQ,BLQ,984.0,Ex,984,1604,2,TA,6,NA,Detchd,1977.0,Unf,2.0,660.0,TA,NA,WD ,117000
70,RL,Reg,HLS,Inside,Crawfor,Norm,1Fam,2Story,7,6,1931,2000,Gable,Stucco,Wd Shng,None,TA,Fa,BrkTil,Gd,TA,No,Unf,Unf,776.0,TA,851,1502,1,TA,6,Gd,Attchd,1931.0,RFn,1.0,270.0,TA,MnPrv,WD ,149000
20,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1954,1954,Gable,HdBoard,HdBoard,Stone,TA,TA,CBlock,TA,TA,No,Rec,LwQ,1056.0,TA,1063,1063,1,TA,6,NA,Attchd,1954.0,RFn,1.0,280.0,TA,MnPrv,WD ,128000
160,RL,Reg,Lvl,Inside,NridgHt,Norm,Twnhs,2Story,7,5,2003,2004,Gable,VinylSd,Wd Shng,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,764.0,Ex,764,1626,2,Gd,6,NA,BuiltIn,2003.0,RFn,2.0,474.0,TA,NA,WD ,155000
160,FV,Reg,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,756.0,Ex,768,1524,2,Gd,4,NA,Detchd,2000.0,Unf,2.0,440.0,TA,NA,WD ,166000
50,RL,Reg,Lvl,Inside,SWISU,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,WdShing,Plywood,None,TA,TA,BrkTil,TA,TA,No,BLQ,Unf,1122.0,TA,1328,1981,2,Gd,7,TA,Detchd,1981.0,Unf,2.0,576.0,TA,MnPrv,WD ,135000
160,RM,Reg,Lvl,Inside,MeadowV,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CemntBd,CmentBd,None,TA,TA,CBlock,TA,TA,No,GLQ,Unf,546.0,Ex,546,1092,1,TA,5,NA,NA,1978.7077955601446,NA,0.0,0.0,NA,NA,WD ,76000
20,RL,Reg,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,6,1951,1951,Hip,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,Unf,216.0,TA,1575,1575,1,Gd,5,Gd,Attchd,1951.0,Unf,2.0,400.0,TA,NA,WD ,155000
60,RL,Reg,Lvl,Corner,Sawyer,Norm,1Fam,2Story,6,7,1969,1969,Gable,HdBoard,HdBoard,Stone,TA,TA,CBlock,TA,TA,No,ALQ,Unf,663.0,TA,663,1352,1,TA,7,NA,Attchd,1969.0,Fin,1.0,299.0,TA,MnPrv,WD ,158000
160,FV,Reg,Lvl,Inside,Somerst,Norm,Twnhs,2Story,7,5,2004,2005,Gable,MetalSd,MetalSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,ALQ,600.0,Ex,600,1200,2,Gd,4,NA,Detchd,2004.0,RFn,2.0,480.0,TA,NA,WD ,149500
20,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1954,1975,Gable,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,BLQ,Unf,936.0,TA,936,936,1,TA,5,NA,Attchd,1954.0,Unf,1.0,240.0,TA,MnPrv,WD ,121000
60,RL,IR2,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,5,1996,1996,Gable,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,No,Rec,Unf,916.0,Gd,916,1636,2,TA,7,TA,Attchd,1996.0,Fin,2.0,386.0,TA,NA,WD ,173000
60,RL,IR1,Lvl,CulDSac,NoRidge,Norm,1Fam,2Story,8,7,1999,2007,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1152.0,Ex,1164,2270,2,Gd,9,Gd,Attchd,1999.0,Fin,3.0,671.0,TA,NA,WD ,290000
20,RL,IR1,Low,Inside,ClearCr,Norm,1Fam,1Story,7,7,1977,2001,Hip,Wd Sdng,Wd Sdng,None,Gd,Gd,CBlock,Gd,TA,Gd,ALQ,Unf,1420.0,Gd,1483,1483,1,TA,4,TA,Attchd,1977.0,RFn,2.0,690.0,TA,NA,WD ,270000
50,RM,Reg,Lvl,Corner,OldTown,Artery,1Fam,1.5Fin,5,5,1920,1950,Gable,WdShing,Wd Shng,None,Fa,Fa,BrkTil,TA,TA,No,Rec,Unf,936.0,Gd,960,1740,1,Ex,6,Gd,Detchd,1920.0,Unf,1.0,225.0,Fa,NA,WD ,122250
20,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1955,1955,Gable,AsbShng,AsbShng,None,TA,TA,CBlock,TA,TA,No,Rec,LwQ,1382.0,Gd,1382,1382,1,Gd,6,NA,Attchd,1955.0,Unf,1.0,350.0,TA,GdWo,WD ,153000
20,RL,Reg,Lvl,Inside,Mitchel,Feedr,1Fam,1Story,5,5,2007,2007,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,ALQ,Unf,1120.0,Ex,1120,1120,1,TA,6,NA,NA,1978.7077955601446,NA,0.0,0.0,NA,NA,New,147000
70,RL,Reg,Lvl,Inside,Crawfor,Norm,1Fam,2Story,7,8,1930,1995,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,Gd,TA,No,GLQ,Unf,531.0,TA,567,1098,1,TA,5,Gd,Detchd,1930.0,Unf,1.0,216.0,TA,MnPrv,WD ,148500
160,RM,Reg,Lvl,Inside,Edwards,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,976.0,Ex,976,1708,2,Gd,7,NA,Detchd,2004.0,Unf,2.0,380.0,TA,NA,WD ,130000
20,RL,IR1,HLS,Corner,NridgHt,Norm,1Fam,1Story,9,5,2006,2006,Hip,MetalSd,MetalSd,Stone,Ex,TA,PConc,Ex,TA,Gd,Unf,Unf,1802.0,Ex,1802,1802,2,Ex,7,Gd,Attchd,2006.0,Fin,3.0,843.0,TA,NA,WD ,372000
120,RL,Reg,Lvl,Inside,Blmngtn,Norm,TwnhsE,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,1362.0,Ex,1506,1506,2,Gd,6,Gd,Attchd,2005.0,Fin,2.0,440.0,TA,NA,WD ,213490
20,RL,IR2,Lvl,Inside,Edwards,Norm,1Fam,1Story,7,5,2009,2010,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,1508.0,Ex,1508,1508,1,Gd,5,TA,Attchd,2009.0,RFn,2.0,572.0,TA,NA,Con,308030
20,RL,IR2,Lvl,Inside,Mitchel,Norm,1Fam,1Story,7,5,1996,1997,Gable,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Ex,TA,Mn,GLQ,Unf,1840.0,Ex,2032,2032,3,Gd,7,NA,Attchd,1996.0,Fin,3.0,786.0,TA,NA,WD ,300000
20,RL,Reg,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,6,1959,1959,Hip,BrkFace,BrkFace,None,TA,TA,CBlock,TA,TA,Mn,ALQ,Unf,655.0,Ex,1194,1194,1,TA,6,Fa,BuiltIn,1954.0,Fin,2.0,539.0,TA,NA,WD ,159500
160,RM,Reg,Lvl,Inside,Edwards,Norm,Twnhs,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,970.0,Ex,970,1709,2,Gd,7,NA,Detchd,2004.0,Unf,2.0,380.0,TA,NA,WD ,137500
20,RL,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1616.0,Ex,1616,1616,2,Gd,7,NA,Attchd,2005.0,RFn,3.0,834.0,TA,NA,WD ,232000
30,RM,IR1,Lvl,Inside,IDOTRR,RRNe,1Fam,1Story,6,6,1930,1950,Gable,Stucco,Wd Shng,None,Gd,Gd,BrkTil,TA,TA,No,Unf,Unf,768.0,TA,768,768,1,TA,4,NA,Detchd,1930.0,Unf,2.0,440.0,TA,NA,WD ,93850
30,RL,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,1924,1950,Gable,BrkFace,Wd Sdng,Stone,TA,TA,BrkTil,TA,TA,No,Unf,Unf,872.0,Fa,872,872,1,Fa,5,Gd,Detchd,1924.0,Unf,1.0,322.0,Fa,NA,WD ,105000
30,RM,IR1,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,520.0,Fa,520,520,1,Fa,4,NA,Detchd,1920.0,Unf,1.0,240.0,Fa,NA,WD ,68500
90,RL,Reg,Lvl,Corner,NAmes,Feedr,Duplex,2Story,5,5,1960,1960,Gable,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,1105.0,TA,1105,2274,2,TA,12,NA,Detchd,1960.0,Unf,2.0,480.0,TA,NA,WD ,154300
70,RM,Reg,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,7,1910,1950,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,BLQ,Unf,616.0,Ex,616,1232,1,TA,6,NA,Detchd,1920.0,Unf,2.0,480.0,Fa,NA,WD ,114000
50,RM,IR1,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,5,8,1915,1950,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,Mn,Unf,Unf,876.0,Gd,876,1416,1,TA,7,Gd,Detchd,1949.0,Unf,3.0,720.0,TA,NA,WD ,153900
20,RL,Reg,Lvl,FR2,NAmes,Norm,1Fam,1Story,4,7,1971,2006,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,864.0,Gd,864,864,1,TA,5,NA,Detchd,1986.0,Unf,2.0,576.0,TA,GdWo,WD ,130000
120,RM,Reg,Lvl,FR2,Mitchel,Norm,TwnhsE,1Story,6,5,1997,1997,Hip,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Ex,TA,No,GLQ,Unf,1189.0,Ex,1189,1189,2,TA,4,NA,Attchd,1997.0,RFn,2.0,392.0,TA,NA,WD ,160500
120,RL,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2006,2006,Hip,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,Gd,No,GLQ,Unf,1666.0,Ex,1666,1666,2,Gd,6,Gd,Attchd,2006.0,RFn,2.0,575.0,TA,NA,New,310090
20,RL,Reg,Lvl,Inside,SawyerW,Norm,1Fam,1Story,7,5,2003,2003,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1176.0,Ex,1200,1200,2,Gd,5,NA,Attchd,2003.0,RFn,2.0,555.0,TA,NA,WD ,184900
20,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,7,1956,2000,Hip,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,Gd,TA,No,Rec,Unf,928.0,TA,928,928,1,TA,4,NA,Attchd,1956.0,Unf,1.0,252.0,TA,NA,WD ,132000
20,RL,Reg,Lvl,Inside,NWAmes,Feedr,1Fam,1Story,5,5,1969,1969,Gable,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,TA,Mn,ALQ,Rec,1288.0,TA,1336,1336,2,TA,6,Fa,Attchd,1969.0,RFn,2.0,502.0,TA,NA,WD ,163000
160,FV,Reg,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,600.0,Ex,600,1200,2,Gd,4,NA,Detchd,2004.0,RFn,2.0,480.0,TA,NA,ConLD,155000
80,RL,IR1,Lvl,Inside,NWAmes,Norm,1Fam,SLvl,6,6,1969,1969,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,Av,GLQ,Unf,1427.0,Gd,1427,1427,2,TA,7,NA,Attchd,1969.0,RFn,2.0,516.0,TA,NA,WD ,183000
60,RL,IR3,Lvl,Corner,CollgCr,Norm,1Fam,2Story,7,5,1996,2002,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,860.0,Ex,1212,1992,2,Gd,7,TA,Attchd,1996.0,RFn,2.0,608.0,TA,NA,WD ,211000
60,RL,Reg,Lvl,Inside,SawyerW,RRAe,1Fam,2Story,7,5,1994,1994,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,LwQ,GLQ,754.0,Ex,754,1540,2,Gd,6,NA,Attchd,1994.0,RFn,2.0,495.0,TA,NA,WD ,184000
90,RL,Reg,Bnk,Inside,SawyerW,Norm,Duplex,1Story,5,5,1979,1979,Gable,HdBoard,HdBoard,None,TA,TA,Slab,NA,NA,NA,NA,NA,0.0,TA,1535,1535,2,TA,8,NA,Attchd,1979.0,Unf,2.0,400.0,TA,GdPrv,WD ,118858
80,RL,IR1,Lvl,Corner,NAmes,Norm,1Fam,SLvl,5,7,1964,1964,Hip,Wd Sdng,HdBoard,BrkFace,TA,TA,PConc,TA,TA,Av,GLQ,Unf,1152.0,TA,1152,1152,1,TA,6,Gd,Attchd,1964.0,RFn,2.0,484.0,TA,NA,WD ,180500
120,FV,IR1,Lvl,Inside,Somerst,Norm,TwnhsE,1Story,8,5,2006,2007,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,1141.0,Ex,1151,1151,2,Gd,5,NA,Attchd,2006.0,Fin,2.0,484.0,TA,NA,New,166000
