date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,bcfg,br,dz,fg,fg+,fu,gr,hz,mifg,ra,sn,sq,ts,tsra,vcfg,vcts
2007-06-01,86,67,77,63,67,0,12,0.21,29.25,29.9,4.7,16,5.8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2007-06-02,81,68,75,62,67,0,10,0.0,29.1,29.76,7.5,21,8.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-06-03,77,64,71,60,64,0,6,0.32,28.87,29.54,4.9,24,7.2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
2007-06-04,72,56,64,57,60,1,0,0.31,28.88,29.51,7.9,30,10.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-06-05,63,51,57,47,52,8,0,0.27,29.16,29.78,6.2,3,8.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-06-06,73,48,61,47,55,4,0,0.0,29.13,29.82,9.6,15,10.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-06-07,92,71,82,61,68,0,17,0.0,28.91,29.55,20.3,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-08,81,63,72,54,62,0,7,0.0,29.24,29.83,9.3,26,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-09,79,57,68,49,58,0,3,0.0,29.42,30.05,2.4,19,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-10,81,61,71,50,60,0,6,0.0,29.39,30.04,4.6,16,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-11,85,65,75,51,61,0,10,0.0,29.47,30.09,6.6,9,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-12,82,66,74,51,61,0,9,0.0,29.49,30.14,9.4,5,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-13,86,68,77,53,62,0,12,0.0,29.28,29.97,7.0,5,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-14,89,68,79,54,63,0,14,0.0,29.36,30.0,5.9,7,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-15,89,67,78,56,65,0,13,0.0,29.34,29.97,3.8,9,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-16,92,68,80,61,68,0,15,0.0,29.33,29.96,2.1,22,6.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-06-17,91,71,81,65,70,0,16,0.16,29.28,29.93,4.0,11,6.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-06-18,89,73,81,65,70,0,16,0.02,29.19,29.83,12.2,20,12.6,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2007-06-19,81,65,73,55,63,0,8,0.93,29.31,29.93,10.1,29,11.3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-06-20,85,62,74,50,61,0,9,0.0,29.46,30.09,5.9,28,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-21,80,66,73,51,61,0,8,0.0,29.41,30.06,3.7,2,9.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-06-22,75,62,69,49,58,0,4,0.0,29.39,30.05,6.5,7,8.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-06-23,68,61,65,60,62,0,0,0.34,29.28,29.95,7.3,11,8.1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-06-24,75,65,70,62,65,0,5,0.0,29.33,29.96,5.6,10,6.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-06-25,86,67,77,67,70,0,12,0.0,29.44,30.06,4.0,12,5.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-06-26,91,73,82,69,72,0,17,0.0,29.45,30.09,7.3,21,8.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-06-27,89,71,80,69,72,0,15,0.35,29.36,30.0,7.9,24,8.5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2007-06-28,73,61,67,56,61,0,2,0.0,29.43,30.07,12.2,2,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-29,71,56,64,56,60,1,0,0.0,29.47,30.11,7.4,2,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-30,77,58,68,49,58,0,3,0.0,29.46,30.11,5.1,4,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,76,61,69,51,59,0,4,0.0,29.56,30.21,9.5,4,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-02,77,58,68,50,59,0,3,0.0,29.55,30.21,7.4,12,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-03,83,63,73,56,63,0,8,0.09,29.38,30.05,6.4,21,7.4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2007-07-04,84,67,76,65,69,0,11,0.66,29.23,29.88,3.1,25,8.8,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
2007-07-05,88,70,79,60,67,0,14,0.0,29.29,29.92,4.3,33,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-06,84,68,76,57,65,0,11,0.0,29.38,30.01,3.3,7,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-07,88,68,78,62,68,0,13,0.0,29.24,29.9,7.4,23,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-08,93,75,84,67,72,0,19,0.0,29.12,29.76,12.6,23,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-09,93,72,83,67,71,0,18,0.24,29.16,29.79,4.8,23,8.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-07-10,89,70,80,67,71,0,15,0.08,29.13,29.76,8.2,23,10.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2007-07-11,77,63,70,51,59,0,5,0.0,29.28,29.92,9.1,30,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-12,80,60,70,51,60,0,5,0.0,29.28,29.92,10.0,28,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007-07-13,74,59,67,53,59,0,2,0.0,29.33,29.98,2.0,7,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-14,85,62,74,55,62,0,9,0.0,29.14,29.79,8.4,25,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-15,80,64,72,52,61,0,7,0.0,29.25,29.88,1.2,9,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-16,82,66,74,60,65,0,9,0.07,29.31,29.94,5.6,23,6.6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2007-07-17,83,69,76,65,69,0,11,0.11,29.24,29.89,6.3,23,7.4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-07-18,85,69,77,69,71,0,12,0.92,29.18,29.83,10.3,24,10.6,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1
2007-07-19,82,63,73,62,66,0,8,0.01,29.26,29.88,7.7,36,14.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-07-20,74,62,68,52,59,0,3,0.0,29.49,30.12,11.3,4,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-21,75,58,67,52,59,0,2,0.0,29.57,30.21,5.8,4,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-22,81,61,71,54,61,0,6,0.0,29.54,30.2,1.9,18,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-23,82,63,73,55,63,0,8,0.0,29.42,30.09,2.9,12,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-24,82,65,74,57,64,0,9,0.0,29.38,30.03,1.1,21,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-25,83,70,77,60,66,0,12,0.0,29.35,29.99,6.4,23,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-26,84,64,74,65,68,0,9,0.89,29.25,29.91,7.2,22,9.9,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2007-07-27,83,70,77,67,70,0,12,0.04,29.16,29.8,1.2,36,8.1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2007-07-28,80,70,75,65,68,0,10,0.0,29.28,29.91,10.6,3,10.7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-07-29,85,67,76,56,64,0,11,0.0,29.34,29.97,6.3,5,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-30,86,65,76,57,65,0,11,0.0,29.39,30.01,3.1,6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-31,89,69,79,60,68,0,14,0.0,29.39,30.02,4.0,7,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,91,69,80,63,70,0,15,0.0,29.34,29.98,2.1,13,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-02,91,73,82,66,72,0,17,0.0,29.31,29.95,6.5,23,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-03,88,73,81,58,67,0,16,0.0,29.36,30.0,3.3,6,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-04,81,68,75,58,65,0,10,0.02,29.36,30.01,5.9,9,6.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-08-05,88,68,78,71,72,0,13,0.97,29.15,29.79,7.0,22,10.2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2007-08-06,85,75,80,72,74,0,15,0.05,29.17,29.81,2.6,10,4.6,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
2007-08-07,92,73,83,73,76,0,18,0.06,29.11,29.74,6.3,24,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2007-08-08,87,74,81,72,74,0,16,0.09,29.18,29.81,1.5,4,6.4,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
2007-08-09,85,73,79,71,73,0,14,0.46,29.19,29.82,3.1,27,6.3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2007-08-10,86,73,80,69,72,0,15,0.0,29.32,29.94,3.0,6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-11,88,68,78,65,70,0,13,0.0,29.38,30.0,3.1,20,3.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-08-12,87,68,78,67,70,0,13,0.23,29.4,30.04,1.9,6,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2007-08-13,80,69,75,54,63,0,10,0.0,29.44,30.08,6.9,8,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-14,84,65,75,66,69,0,10,0.45,29.29,29.92,6.4,23,9.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2007-08-15,81,72,77,69,71,0,12,0.83,29.23,29.87,4.9,6,7.1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2007-08-16,77,67,72,65,68,0,7,0.0,29.33,29.95,3.5,1,5.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-17,80,65,73,54,62,0,8,0.0,29.46,30.08,6.1,31,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-18,69,60,65,54,58,0,0,0.42,29.48,30.15,6.1,13,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-08-19,69,62,66,63,64,0,1,1.33,29.3,29.98,5.5,10,7.5,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2007-08-20,76,68,72,69,70,0,7,0.48,29.21,29.85,2.4,20,5.9,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0
2007-08-21,85,69,77,70,72,0,12,0.01,29.26,29.89,3.5,17,6.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-22,90,70,80,70,73,0,15,0.88,29.29,29.93,5.1,21,8.4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2007-08-23,89,70,80,69,71,0,15,1.96,29.21,29.86,6.7,21,9.1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2007-08-24,81,69,75,67,69,0,10,0.2,29.16,29.81,5.5,25,7.3,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
2007-08-25,76,65,71,63,66,0,6,0.25,29.29,29.91,2.4,3,6.4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-08-26,78,61,70,55,62,0,5,0.0,29.44,30.07,3.7,11,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-27,79,63,71,59,64,0,6,0.0,29.41,30.06,6.4,16,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-28,90,69,80,65,70,0,15,0.0,29.34,29.98,7.8,21,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-29,86,69,78,64,69,0,13,0.0,29.39,30.02,5.3,3,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-30,75,60,68,54,61,0,3,0.0,29.51,30.15,10.8,3,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-31,76,57,67,54,60,0,2,0.0,29.52,30.17,3.0,6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,79,60,70,56,62,0,5,0.0,29.54,30.2,4.4,11,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-02,84,62,73,56,63,0,8,0.0,29.47,30.13,4.8,21,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-03,88,64,76,61,67,0,11,0.0,29.42,30.07,3.0,25,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-04,90,67,79,59,67,0,14,0.0,29.34,29.99,2.2,24,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-05,91,72,82,62,69,0,17,0.0,29.31,29.94,6.4,19,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-06,84,74,79,66,70,0,14,0.08,29.27,29.91,12.8,20,13.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2007-09-07,84,71,78,67,70,0,13,0.67,29.21,29.84,9.5,23,13.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2007-09-08,78,68,73,58,64,0,8,0.0,29.34,29.98,8.4,5,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-09,79,63,71,59,64,0,6,0.0,29.41,30.03,10.1,3,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-10,73,55,64,59,62,1,0,0.25,29.34,30.01,7.4,3,9.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-09-11,71,51,61,44,52,4,0,0.0,29.26,29.91,12.1,29,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-12,66,46,56,43,50,9,0,0.0,29.46,30.11,1.9,5,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-13,79,53,66,43,54,0,1,0.0,29.3,29.98,7.1,20,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-14,67,47,57,40,49,8,0,0.0,29.41,30.04,11.7,32,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-15,62,42,52,35,45,13,0,0.0,29.62,30.28,1.1,35,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-16,72,49,61,38,50,4,0,0.0,29.52,30.2,7.7,18,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-17,80,55,68,48,57,0,3,0.0,29.46,30.12,10.6,17,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-18,89,66,78,57,65,0,13,0.0,29.41,30.05,12.5,19,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-19,84,68,76,59,65,0,11,0.0,29.47,30.09,3.5,25,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-20,76,63,70,59,64,0,5,0.0,29.44,30.1,5.6,8,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-21,90,68,79,59,66,0,14,0.0,29.23,29.89,9.8,22,11.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-09-22,72,58,65,45,55,0,0,0.0,29.48,30.1,4.3,1,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-23,83,55,69,50,59,0,4,0.0,29.49,30.15,5.9,12,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-24,91,71,81,62,69,0,16,0.0,29.34,29.98,10.0,19,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-25,83,67,75,66,69,0,10,0.01,29.29,29.93,7.3,23,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2007-09-26,68,55,62,51,56,3,0,0.14,29.37,30.02,4.8,2,7.3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-09-27,74,52,63,49,55,2,0,0.0,29.31,29.97,4.5,25,5.8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-09-28,73,53,63,46,54,2,0,0.0,29.52,30.16,3.1,7,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-29,82,52,67,45,55,0,2,0.0,29.57,30.23,8.4,17,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-30,84,61,73,48,59,0,8,0.14,29.44,30.1,12.9,19,13.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2007-10-01,68,59,64,59,61,1,0,0.17,29.35,30.0,7.9,21,8.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-10-02,80,59,70,59,63,0,5,0.11,29.25,29.92,10.0,19,10.3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-10-03,74,56,65,47,56,0,0,0.0,29.34,29.97,4.8,25,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-04,83,56,70,56,62,0,5,0.0,29.39,30.03,4.6,17,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-05,85,68,77,65,69,0,12,0.06,29.42,30.06,6.8,18,7.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-10-06,88,71,80,66,71,0,15,0.0,29.39,30.03,6.4,21,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-07,88,70,79,65,70,0,14,0.0,29.38,30.01,5.3,19,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-08,88,62,75,60,66,0,10,0.0,29.28,29.92,7.3,24,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-09,77,50,64,44,53,1,0,0.0,29.27,29.93,12.1,28,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-10,53,47,50,37,44,15,0,0.0,29.26,29.93,14.4,31,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-11,56,48,52,39,45,13,0,0.0,29.34,30.0,14.6,36,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-12,57,45,51,35,43,14,0,0.0,29.34,30.02,2.8,36,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-13,59,44,52,40,47,13,0,0.0,29.38,30.04,3.6,21,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-14,63,55,59,47,52,6,0,0.01,29.4,30.06,5.7,12,6.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-10-15,77,55,66,50,57,0,1,0.04,29.26,29.94,6.6,16,6.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-10-16,68,56,62,55,58,3,0,0.19,29.23,29.88,6.5,21,7.3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-10-17,74,50,62,53,57,3,0,0.11,29.13,29.83,8.6,14,9.1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2007-10-18,79,60,70,57,62,0,5,0.34,28.67,29.34,15.5,19,17.2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2007-10-19,61,53,57,48,52,8,0,0.0,28.82,29.45,17.7,24,18.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-10-20,74,47,61,43,52,4,0,0.0,29.1,29.72,11.1,21,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-21,79,61,70,46,56,0,5,0.0,29.15,29.78,16.7,20,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-22,66,47,57,47,51,8,0,0.15,29.32,29.96,5.8,1,10.3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-10-23,53,46,50,39,45,15,0,0.03,29.26,29.93,4.0,31,7.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-10-24,53,45,49,35,43,16,0,0.0,29.51,30.16,16.0,2,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-25,57,45,51,40,46,14,0,0.0,29.52,30.2,14.5,6,14.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-10-26,66,53,60,49,52,5,0,0.41,29.38,30.06,4.2,6,7.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-10-27,57,39,48,41,46,17,0,0.08,29.62,30.25,7.9,31,9.1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2007-10-28,56,34,45,30,39,20,0,0.0,29.86,30.53,3.5,23,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-29,60,39,50,32,42,15,0,0.0,29.7,30.41,9.1,22,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-30,66,42,54,37,46,11,0,0.0,29.51,30.22,10.8,20,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
